municipio,ano,populacao
NOSSA SENHORA DO LIVRAMENTO,2022,12940
NOVA BANDEIRANTES,2022,13635
NOVA BRASILANDIA,2022,3932
NOVA CANAA DO NORTE,2022,11707
NOVA GUARITA,2022,4590
NOVA LACERDA,2022,6670
NOVA MARILANDIA,2022,3529
NOVA MARINGA,2022,5846
NOVA MONTE VERDE,2022,8313
NOVA MUTUM,2022,55839
NOVA NAZARE,2022,4200
NOVA OLIMPIA,2022,16352
NOVA SANTA HELENA,2022,4239
NOVA UBIRATA,2022,11530
NOVA XAVANTINA,2022,24345
NOVO HORIZONTE DO NORTE,2022,3349
NOVO MUNDO,2022,6520
NOVO SANTO ANTONIO,2022,2015
NOVO SAO JOAQUIM,2022,6919
PARANAITA,2022,11671
PARANATINGA,2022,26423
PEDRA PRETA,2022,18066
PEIXOTO DE AZEVEDO,2022,32714
PLANALTO DA SERRA,2022,3166
POCONE,2022,31217
PONTAL DO ARAGUAIA,2022,6932
PONTE BRANCA,2022,2008
PONTES E LACERDA,2022,52018
PORTO ALEGRE DO NORTE,2022,12127
PORTO DOS GAUCHOS,2022,5593
PORTO ESPERIDIAO,2022,10204
PORTO ESTRELA,2022,3224
POXOREU,2022,23283
PRIMAVERA DO LESTE,2022,85146
QUERENCIA,2022,26769
RESERVA DO CABACAL,2022,2122
RIBEIRAO CASCALHEIRA,2022,10089
RIBEIRAOZINHO,2022,2593
RIO BRANCO,2022,4535
RONDOLANDIA,2022,3505
RONDONOPOLIS,2022,244911
ROSARIO OESTE,2022,15453
SALTO DO CEU,2022,3679
SANTA CARMEM,2022,5374
SANTA CRUZ DO XINGU,2022,2661
SANTA RITA DO TRIVELATO,2022,3276
SANTA TEREZINHA,2022,7596
SANTO AFONSO,2022,2519
SANTO ANTONIO DO LESTE,2022,4099
SANTO ANTONIO DO LEVERGER,2022,15246
SAO FELIX DO ARAGUAIA,2022,13621
SAO JOSE DO POVO,2022,2875
SAO JOSE DO RIO CLARO,2022,14911
SAO JOSE DOS QUATRO MARCOS,2022,17849
SAO JOSE DO XINGU,2022,5964
SAO PEDRO DA CIPA,2022,4191
SAPEZAL,2022,28944
SERRA NOVA DOURADA,2022,1800
SINOP,2022,196312
SORRISO,2022,110635
TABAPORA,2022,9818
TANGARA DA SERRA,2022,106434
TAPURAH,2022,14370
TERRA NOVA DO NORTE,2022,10616
TESOURO,2022,3025
TORIXOREU,2022,4164
UNIAO DO SUL,2022,3838
VALE DE SAO DOMINGOS,2022,2904
VARZEA GRANDE,2022,300078
VERA,2022,12800
VILA BELA DA SANTISSIMA TRINDADE,2022,16774
VILA RICA,2022,19888
ACORIZAL,2023,5022
AGUA BOA,2023,30461
ALTA FLORESTA,2023,60595
ALTO ARAGUAIA,2023,17567
ALTO BOA VISTA,2023,5827
ALTO GARCAS,2023,13443
ALTO PARAGUAI,2023,7854
ALTO TAQUARI,2023,11289
APIACAS,2023,8715
ARAGUAIANA,2023,3895
ARAGUAINHA,2023,988
ARAPUTANGA,2023,14932
ARENAPOLIS,2023,10739
ARIPUANA,2023,25493
BARAO DE MELGACO,2023,7272
BARRA DO BUGRES,2023,29765
BARRA DO GARCAS,2023,71550
BOM JESUS DO ARAGUAIA,2023,7543
BRASNORTE,2023,17357
CACERES,2023,91623
CAMPINAPOLIS,2023,15613
CAMPO NOVO DO PARECIS,2023,48027
CAMPOS DE JULIO,2023,9272
CAMPO VERDE,2023,46557
CANABRAVA DO NORTE,2023,4491
CANARANA,2023,26904
CARLINDA,2023,10415
CASTANHEIRA,2023,7544
CHAPADA DOS GUIMARAES,2023,19366
CLAUDIA,2023,9576
COCALINHO,2023,6377
COLIDER,2023,32086
COLNIZA,2023,26260
COMODORO,2023,18480
CONFRESA,2023,36490
CONQUISTA D'OESTE,2023,3831
COTRIGUACU,2023,10624
CUIABA,2023,676124
CURVELANDIA,2023,4970
DENISE,2023,6917
DIAMANTINO,2023,22368
