target,forecast_step,forecast_epi_year,forecast_epi_week,forecast_tests,forecast_positividade,forecast_notificacoes,metodo,modelo_versao
hepatite_c_hcv,2,2026,22,2.15,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_c_hcv,3,2026,23,2.15,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_c_hcv,4,2026,24,2.15,0.0,0.0,ewma_span4_tail8,baseline_v1
hidatidose_hidatidose_igg,1,2025,37,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
hidatidose_hidatidose_igg,2,2025,38,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
hidatidose_hidatidose_igg,3,2025,39,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
hidatidose_hidatidose_igg,4,2025,40,1.56,0.0,0.0,ewma_span4_tail8,baseline_v1
histoplasmose_histoplasmose,1,2025,50,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
histoplasmose_histoplasmose,2,2025,51,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
histoplasmose_histoplasmose,3,2025,52,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
histoplasmose_histoplasmose,4,2025,53,1.05,0.0,0.0,ewma_span4_tail8,baseline_v1
hiv,1,2026,15,1.78,0.0,0.0,ewma_span4_tail8,baseline_v1
hiv,2,2026,16,1.78,0.0,0.0,ewma_span4_tail8,baseline_v1
hiv,3,2026,17,1.78,0.0,0.0,ewma_span4_tail8,baseline_v1
hiv,4,2026,18,1.78,0.0,0.0,ewma_span4_tail8,baseline_v1
htlv_htlv_i_ii_v_rus_linfotr_pico_humano_tipo_i_e_ii,1,2025,37,1.22,0.0,0.0,ewma_span4_tail8,baseline_v1
htlv_htlv_i_ii_v_rus_linfotr_pico_humano_tipo_i_e_ii,2,2025,38,1.22,0.0,0.0,ewma_span4_tail8,baseline_v1
htlv_htlv_i_ii_v_rus_linfotr_pico_humano_tipo_i_e_ii,3,2025,39,1.22,0.0,0.0,ewma_span4_tail8,baseline_v1
htlv_htlv_i_ii_v_rus_linfotr_pico_humano_tipo_i_e_ii,4,2025,40,1.22,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_cultura,1,2025,48,2.33,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_cultura,2,2025,49,2.33,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_cultura,3,2025,50,2.33,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_cultura,4,2025,51,2.33,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_identifica_o,1,2025,41,1.94,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_identifica_o,2,2025,42,1.94,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_identifica_o,3,2025,43,1.94,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_identifica_o,4,2025,44,1.94,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,1,2025,41,2.9,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,2,2025,42,2.9,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,3,2025,43,2.9,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade,4,2025,44,2.9,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade_ii,1,2025,24,1.47,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade_ii,2,2025,25,1.47,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade_ii,3,2025,26,1.47,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_bact_rias_teste_de_sensibilidade_ii,4,2025,27,1.47,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_cultura_para_fungos,1,2025,48,1.23,0.7009,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_cultura_para_fungos,2,2025,49,1.23,0.7009,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_cultura_para_fungos,3,2025,50,1.23,0.7009,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_cultura_para_fungos,4,2025,51,1.23,0.7009,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_fungos_teste_de_sensibilidade,1,2025,34,1.4,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_fungos_teste_de_sensibilidade,2,2025,35,1.4,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_fungos_teste_de_sensibilidade,3,2025,36,1.4,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_fungos_teste_de_sensibilidade,4,2025,37,1.4,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_carbapenemases,1,2025,44,1.57,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_carbapenemases,2,2025,45,1.57,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_carbapenemases,3,2025,46,1.57,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_carbapenemases,4,2025,47,1.57,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,1,2025,34,1.72,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,2,2025,35,1.72,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,3,2025,36,1.72,0.0,0.0,ewma_span4_tail8,baseline_v1
infec_o_coloniza_o_pesquisa_de_genes_de_resist_ncia,4,2025,37,1.72,0.0,0.0,ewma_span4_tail8,baseline_v1
influenza,1,2026,20,3.68,0.0,0.0,ewma_span4_tail8,baseline_v1
influenza,2,2026,21,3.68,0.0,0.0,ewma_span4_tail8,baseline_v1
influenza,3,2026,22,3.68,0.0,0.0,ewma_span4_tail8,baseline_v1
influenza,4,2026,23,3.68,0.0,0.0,ewma_span4_tail8,baseline_v1
