municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2024,9,,,,,7,0.0,0
ACORIZAL,2024,10,,,,,7,0.0,0
ACORIZAL,2024,11,,,,,7,0.0,0
ACORIZAL,2024,12,,,,,7,0.0,0
ACORIZAL,2024,13,,,,,7,0.0,0
ACORIZAL,2024,14,,,,,7,0.0,0
ACORIZAL,2024,15,,,,,7,0.0,0
ACORIZAL,2024,16,,,,,7,0.0,0
ACORIZAL,2024,17,,,,,7,0.0,0
ACORIZAL,2024,18,,,,,7,0.0,0
ACORIZAL,2024,19,,,,,7,0.0,0
ACORIZAL,2024,20,,,,,7,0.0,0
ACORIZAL,2024,21,,,,,7,0.0,0
ACORIZAL,2024,22,,,,,7,0.0,0
ACORIZAL,2024,23,,,,,7,0.0,0
ACORIZAL,2024,24,,,,,7,0.0,0
ACORIZAL,2024,25,,,,,7,0.0,0
ACORIZAL,2024,26,,,,,7,0.0,0
ACORIZAL,2024,27,,,,,7,0.0,0
ACORIZAL,2024,28,,,,,7,0.0,0
ACORIZAL,2024,29,,,,,7,0.0,0
ACORIZAL,2024,30,,,,,7,0.0,0
ACORIZAL,2024,31,,,,,7,0.0,0
ACORIZAL,2024,32,,,,,7,0.0,0
ACORIZAL,2024,33,,,,,7,0.0,0
ACORIZAL,2024,34,,,,,7,0.0,0
ACORIZAL,2024,35,,,,,7,0.0,0
ACORIZAL,2024,36,,,,,7,0.0,0
ACORIZAL,2024,37,,,,,7,0.0,0
ACORIZAL,2024,38,,,,,7,0.0,0
ACORIZAL,2024,39,,,,,7,0.0,0
ACORIZAL,2024,40,,,,,7,0.0,0
ACORIZAL,2024,41,,,,,7,0.0,0
ACORIZAL,2024,42,,,,,7,0.0,0
ACORIZAL,2024,43,,,,,7,0.0,0
ACORIZAL,2024,44,,,,,7,0.0,0
ACORIZAL,2024,45,,,,,7,0.0,0
ACORIZAL,2024,46,,,,,7,0.0,0
ACORIZAL,2024,47,,,,,7,0.0,0
ACORIZAL,2024,48,,,,,7,0.0,0
ACORIZAL,2024,49,,,,,7,0.0,0
ACORIZAL,2024,50,,,,,7,0.0,0
ACORIZAL,2024,51,,,,,7,0.0,0
ACORIZAL,2024,52,,,,,7,0.0,0
ACORIZAL,2025,1,,,,,7,0.0,0
ACORIZAL,2025,2,,,,,7,0.0,0
ACORIZAL,2025,3,,,,,7,0.0,0
ACORIZAL,2025,4,,,,,7,0.0,0
ACORIZAL,2025,5,,,,,7,0.0,0
ACORIZAL,2025,6,,,,,7,0.0,0
ACORIZAL,2025,7,,,,,7,0.0,0
