municipio,municipio_key,internacoes,internacoes_por_100k,sih_semana_ref,cid_familia,indicasus_score,aviso,fonte_internacao,fonte_indicasus
POCONE,POCONE,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PORTO VELHO,PORTO VELHO,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
POXOREO,POXOREO,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
ROSARIO OESTE,ROSARIO OESTE,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
RUROPOLIS,RUROPOLIS,0,,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SAO GABRIEL DO OESTE,SAO GABRIEL DO OESTE,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SAO PEDRO DA CIPA,SAO PEDRO DA CIPA,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SAPEZAL,SAPEZAL,0,0.0,2026-SE26,hepatite,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SERRA NOVA DOURADA,SERRA NOVA DOURADA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SOLEDADE DE MINAS,SOLEDADE DE MINAS,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
SUMARE,SUMARE,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
TABAPORA,TABAPORA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
URUPA,URUPA,0,,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
VILHENA,VILHENA,0,,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
