ano_se,semana_epidemiologica,codigo_ibge,municipio,sla_crise,silencio_gal_alerta,divergencia_gal_notif,faixa_pressao,pressao_alta,indice_pressao_rede,prob_pressao_alta_proxima_janela,faixa_pressao_predita,pressao_predita_acima_limiar,prioridade_emergencia,ts_geracao,tipo_sinal,fonte_stamp
2026,21,5106158.0,NOSSA SENHORA DO LIVRAMENTO,False,False,True,alta,True,60.46,0.4947,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104203.0,GUARANTA DO NORTE,True,False,True,alta,True,58.67,0.2396,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5101258.0,ARAPUTANGA,True,False,False,alta,True,57.93,0.4596,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105200.0,JUINA,True,False,True,alta,True,57.06,0.3021,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100201.0,AGUA BOA,False,False,True,moderada,False,54.91,0.229,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100359.0,ALTO BOA VISTA,False,False,True,moderada,False,54.74,0.0722,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107800.0,SANTO ANTONIO DO LEVERGER,False,False,True,moderada,False,53.02,0.2493,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106455.0,PARANAITA,False,False,True,moderada,False,52.93,0.1679,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108204.0,TESOURO,True,False,True,moderada,False,52.9,0.1952,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106703.0,PEIXOTO DE AZEVEDO,False,False,True,moderada,False,52.55,0.2448,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104559.0,ITANHANGA,True,False,True,moderada,False,52.21,0.1344,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104906.0,JACIARA,True,False,True,moderada,False,51.95,0.1006,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106802.0,PONTAL DO ARAGUAIA,True,False,True,moderada,False,51.64,0.3387,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5101605.0,BARAO DE MELGACO,False,False,True,moderada,False,51.35,0.1604,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100102.0,ACORIZAL,True,False,True,moderada,False,51.3,0.1857,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103601.0,DIAMANTINO,True,False,False,moderada,False,51.26,0.2037,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105259.0,JUSCIMEIRA,False,False,True,moderada,False,51.21,0.0566,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107107.0,QUERENCIA,False,False,True,moderada,False,51.12,0.1607,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100250.0,ALTA FLORESTA,False,False,True,moderada,False,50.98,0.1752,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106000.0,NOBRES,False,False,True,moderada,False,50.86,0.2546,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5101308.0,ARENAPOLIS,True,False,True,moderada,False,50.78,0.3112,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106216.0,NOVA CANAA DO NORTE,False,False,True,moderada,False,50.73,0.1641,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105622.0,MATUPA,True,False,True,moderada,False,50.32,0.2169,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103700.0,DOM AQUINO,False,False,True,moderada,False,50.2,0.2322,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108501.0,VERA,True,False,True,moderada,False,49.41,0.1612,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100300.0,ALTO ARAGUAIA,True,False,True,moderada,False,49.37,0.2907,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5102603.0,CAMPINAPOLIS,False,False,True,moderada,False,49.29,0.1836,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106265.0,NOVA OLIMPIA,True,False,False,moderada,False,49.09,0.0758,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5101803.0,BARRA DO GARCAS,False,False,True,moderada,False,48.61,0.2674,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107354.0,SAO JOSE DO XINGU,True,False,True,moderada,False,48.5,0.1654,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100508.0,ALTO PARAGUAI,True,False,False,moderada,False,48.36,0.19,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107792.0,SANTO ANTONIO DO LESTE,False,False,True,moderada,False,47.84,0.1262,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106877.0,PORTO ALEGRE DO NORTE,False,False,True,moderada,False,47.78,0.1819,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107263.0,SANTO AFONSO,False,False,True,moderada,False,47.56,0.0848,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106240.0,NOVA MONTE VERDE,False,False,True,moderada,False,47.25,0.2322,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106299.0,NOVA XAVANTINA,False,False,True,moderada,False,47.01,0.309,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108352.0,UNIAO DO SUL,True,False,True,moderada,False,47.01,0.2268,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103452.0,CURVELANDIA,False,False,True,moderada,False,46.92,0.1439,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104500.0,GUIRATINGA,False,False,True,moderada,False,46.7,0.1734,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105580.0,LUCIARA,False,False,True,moderada,False,46.56,0.3022,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107750.0,SALTO DO CEU,False,False,True,moderada,False,46.33,0.1924,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5102694.0,CANABRAVA DO NORTE,False,False,True,moderada,False,46.3,0.0737,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,,NOVA NAZARE,True,False,True,moderada,False,46.06,0.2601,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105150.0,JUARA,True,False,True,moderada,False,46.05,0.1592,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106190.0,NOVA LACERDA,True,False,False,moderada,False,45.81,0.1901,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107875.0,SAO PEDRO DA CIPA,True,False,False,moderada,False,45.64,0.109,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106752.0,PLANALTO DA SERRA,True,False,True,moderada,False,45.62,0.1671,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107883.0,SAPEZAL,True,False,False,moderada,False,45.59,0.2676,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105101.0,JAURU,False,False,True,moderada,False,45.54,0.1389,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107180.0,RIBEIRAO CASCALHEIRA,False,False,True,moderada,False,45.51,0.235,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100409.0,ALTO GARCAS,True,False,True,moderada,False,45.48,0.1782,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107297.0,SAO JOSE DO POVO,True,False,True,moderada,False,45.27,0.2592,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106109.0,NORTELANDIA,False,False,True,moderada,False,45.23,0.2737,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106372.0,NOVO SANTO ANTONIO,True,False,True,moderada,False,45.17,0.3129,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108402.0,VALE DE SAO DOMINGOS,False,False,True,moderada,False,44.94,0.1864,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104526.0,INDIAVAI,True,False,True,moderada,False,44.71,0.259,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5104609.0,ITAUBA,True,False,True,moderada,False,44.62,0.1724,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103353.0,CONFRESA,False,False,True,moderada,False,44.51,0.2696,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108105.0,TERRA NOVA DO NORTE,False,False,True,moderada,False,44.11,0.2095,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106273.0,NOVA SANTA HELENA,True,False,True,moderada,False,43.91,0.1449,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5100805.0,APIACAS,True,False,True,moderada,False,43.78,0.1122,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107404.0,SAO JOSE DOS QUATRO MARCOS,True,False,True,moderada,False,43.36,0.266,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106174.0,NOVA BANDEIRANTES,True,False,True,moderada,False,43.14,0.2007,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107768.0,SANTA RITA DO TRIVELATO,True,False,True,moderada,False,43.06,0.2192,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5102702.0,CANARANA,True,False,True,moderada,False,42.82,0.4583,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108055.0,TAPURAH,True,False,True,moderada,False,42.71,0.1368,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103403.0,COTRIGUACU,True,False,True,moderada,False,42.7,0.2219,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107776.0,SANTA TEREZINHA,False,False,True,moderada,False,42.61,0.2086,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,,MARCELANDIA,True,False,True,moderada,False,42.59,0.2492,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5102850.0,CASTANHEIRA,True,False,True,moderada,False,42.57,0.2303,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103254.0,COLNIZA,False,False,True,moderada,False,42.52,0.2003,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108550.0,VILA BELA DA SANTISSIMA TRINDADE,True,True,False,moderada,False,42.42,0.4331,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
