municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade
PORTO ALEGRE DO NORTE,5106877.0,-10.8711,-51.6315,0.673,0.53,10.2,4463.0,0.32699999999999996,0.5111111111111111,0.3653541666666683,0.33725,2.766361486486486,0.04215624999999974,0.8777804757882886
PORTO DOS GAUCHOS,5106893.0,-11.5238,-57.4143,0.685,0.5,4.65,2501.0,0.31499999999999995,0.6666666666666667,0.028104166666666798,-0.6745,0.2369864864864867,0.48479687500000007,0.018846882038288396
PORTO ESPERIDIAO,5106901.0,-15.8542,-58.4552,0.652,0.5,8.13,4372.0,0.348,0.5259259259259259,0.9555416666666711,-0.6745,1.8229729729729733,0.08431249999999979,0.5470817849099111
PORTO ESTRELA,5107008.0,-15.3283,-57.2185,0.599,0.48,7.89,1069.0,0.401,0.9259259259259259,2.4450625000000112,-1.349,1.7135945945945945,1.2225312499999998,1.0080470861486512
POXOREU,5107040.0,-15.8361,-54.3879,0.678,0.57,4.12,6533.0,0.32199999999999995,0.3481481481481481,0.22483333333333438,1.6862499999999963,-0.004557432432432335,-0.42156250000000023,0.3712408502252245
PRIMAVERA DO LESTE,5107065.0,-1.5559,-54.2954,0.752,0.56,1.54,27300.0,0.248,0.051851851851851816,-1.8548750000000056,1.349,-1.180375,-1.2646875000000002,-0.7377343750000014
QUERENCIA,5107107.0,-1.2597,-52.1226,0.692,0.55,2.87,6953.0,0.30800000000000005,0.31851851851851853,-0.16862499999999764,1.01175,-0.5742364864864864,-0.5058750000000001,-0.05924662162162103
RESERVA DO CABACAL,5107156.0,-1.5083,-58.4682,0.676,0.48,4.34,1231.0,0.32399999999999995,0.8962962962962963,0.28104166666666797,-1.349,0.09570608108108106,1.1382187499999996,0.04149162443693716
RIBEIRAO CASCALHEIRA,5107180.0,-12.9329,-51.8219,0.67,0.55,9.99,3915.0,0.32999999999999996,0.5629629629629629,0.44966666666666877,1.01175,2.6706554054054057,0.1897031249999996,1.0804437992680185
RIBEIRAOZINHO,5107198.0,-1.6518,-52.6865,0.692,0.53,2.15,1089.0,0.30800000000000005,0.9185185185185185,-0.16862499999999764,0.33725,-0.9023716216216217,1.2014531249999998,0.11692662584459512
RIO BRANCO,5107206.0,-15.2559,-58.1147,0.707,0.51,6.12,2349.0,0.29300000000000004,0.7037037037037037,-0.5901874999999996,-0.33725,0.9069290540540542,0.5901874999999999,0.1424197635135136
RONDOLANDIA,5107578.0,-96.9707,-61.2829,0.64,0.53,11.8,1637.0,0.36,0.825925925925926,1.2927916666666726,0.33725,3.495550675675676,0.9379765624999998,1.5158922262105872
RONDONOPOLIS,5107602.0,-16.4705,-54.6356,0.755,0.56,1.99,97036.0,0.245,0.014814814814814836,-1.9391875000000058,1.349,-0.9752905405405404,-1.3700781249999998,-0.7338890413851364
ROSARIO OESTE,5107701.0,-14.8361,-56.4277,0.65,0.53,8.21,7994.0,0.35,0.2518518518518519,1.0117500000000048,0.33725,1.8594324324324327,-0.695578125,0.6282135768581094
SALTO DO CEU,5107750.0,-15.1384,-58.1364,0.666,0.48,6.45,1637.0,0.33399999999999996,0.825925925925926,0.5620833333333359,-1.349,1.0573243243243244,0.9379765624999998,0.30209605503941506
SANTA CARMEM,5107248.0,-11.9169,-55.2471,0.715,0.51,1.98,1904.0,0.28500000000000003,0.7851851851851852,-0.815020833333334,-0.33725,-0.979847972972973,0.8220468749999998,-0.32751798282657685
SANTA CRUZ DO XINGU,5107743.0,-11.0827,-51.9868,0.684,0.53,13.1,975.0,0.31599999999999995,0.9481481481481482,0.056208333333333596,0.33725,4.0880168918918915,1.285765625,1.4418102125563061
SANTA RITA DO TRIVELATO,5107768.0,-13.8055,-5.5263,0.735,0.51,2.13,1239.0,0.265,0.8888888888888888,-1.37710416666667,-0.33725,-0.9114864864864864,1.1171406249999998,-0.3771750070382892
SANTA TEREZINHA,5107776.0,-10.4681,-50.5137,0.609,0.52,14.2,2739.0,0.391,0.6296296296296297,2.1640208333333435,0.0,4.589334459459459,0.3794062499999999,1.7831903856982005
SANTO AFONSO,5107263.0,-14.6293,-57.1724,0.689,0.47,5.32,1250.0,0.31100000000000005,0.8814814814814815,-0.08431249999999726,-1.6862500000000002,0.5423344594594596,1.0960624999999997,-0.033041385135134604
SANTO ANTONIO DO LESTE,5107792.0,-14.8193,-53.6166,0.655,0.5,2.31,1497.0,0.345,0.8518518518518519,0.8712291666666707,-0.6745,-0.8294527027027027,1.0117499999999997,0.09475661599099194
