familia,exames,n_municipios,tat_mediano_dias,tat_p90_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_rejeitado,backlog_estimado,granularidade,municipio,fonte,anos_referencia
tuberculose,908,1,7.53125,76.78680555555556,0.862453531598513,0.21024734982332155,0.4363957597173145,0.031938325991189426,361,municipio_familia,SORRISO,gal_lacen_microdados,>=2024
respiratorio,854,1,8.45,152.70458333333332,0.542713567839196,0.06896551724137931,0.3857758620689655,0.2529274004683841,323,municipio_familia,LUCAS DO RIO VERDE,gal_lacen_microdados,>=2024
outros,843,1,4.35,73.72430555555556,0.47804878048780486,0.3078556263269639,0.6029723991507431,0.04744958481613286,254,municipio_familia,CACERES,gal_lacen_microdados,>=2024
hepatite,830,1,10.464583333333334,91.4875,0.24379232505643342,0.13214990138067062,0.3708086785009862,0.01566265060240964,409,municipio_familia,VARZEA GRANDE,gal_lacen_microdados,>=2024
hepatite,775,1,2.3319444444444444,91.40624999999999,0.784965034965035,0.46114864864864863,0.7466216216216216,0.02064516129032258,182,municipio_familia,SINOP,gal_lacen_microdados,>=2024
arbovirose,770,1,7.5569444444444445,29.59722222222222,0.2643253234750462,0.11638591117917305,0.450229709035222,0.032467532467532464,275,municipio_familia,ROSARIO OESTE,gal_lacen_microdados,>=2024
outros,764,1,15.17048611111111,217.4282638888889,0.1927710843373494,0.08078602620087336,0.17903930131004367,0.031413612565445025,100,municipio_familia,CANARANA,gal_lacen_microdados,>=2024
hepatite,739,1,7.642361111111111,81.91111111111111,0.21739130434782608,0.12596899224806202,0.39147286821705424,0.012178619756427604,338,municipio_familia,SORRISO,gal_lacen_microdados,>=2024
tuberculose,706,1,5.652083333333334,268.6480555555556,0.6238095238095238,0.1550561797752809,0.5865168539325842,0.0679886685552408,167,municipio_familia,CAMPINAPOLIS,gal_lacen_microdados,>=2024
outros,677,1,6.657638888888889,207.45138888888889,0.4587378640776699,0.19540229885057472,0.5011494252873563,0.04431314623338257,119,municipio_familia,JUINA,gal_lacen_microdados,>=2024
tuberculose,658,1,3.7111111111111112,87.33680555555556,0.6742671009771987,0.29376854599406527,0.6409495548961425,0.060790273556231005,374,municipio_familia,NOVA MUTUM,gal_lacen_microdados,>=2024
arbovirose,642,1,13.504861111111111,147.31805555555556,0.25060240963855424,0.01910828025477707,0.37579617834394907,0.017133956386292833,211,municipio_familia,RIO BRANCO,gal_lacen_microdados,>=2024
arbovirose,641,1,25.772916666666667,209.42430555555555,0.2844311377245509,0.04187192118226601,0.14285714285714285,0.062402496099843996,135,municipio_familia,JUARA,gal_lacen_microdados,>=2024
tuberculose,640,1,3.701388888888889,90.63194444444447,0.7121588089330024,0.33636363636363636,0.6272727272727273,0.0859375,209,municipio_familia,TANGARA DA SERRA,gal_lacen_microdados,>=2024
hepatite,636,1,8.495138888888889,71.93666666666682,0.29285714285714287,0.22310756972111553,0.4103585657370518,0.031446540880503145,241,municipio_familia,AGUA BOA,gal_lacen_microdados,>=2024
tuberculose,630,1,1.7527777777777778,31.31444444444445,0.8434343434343434,0.5149425287356322,0.825287356321839,0.07301587301587302,253,municipio_familia,BARRA DO GARCAS,gal_lacen_microdados,>=2024
outros,607,1,19.59340277777778,176.0956250000002,0.4199395770392749,0.18586387434554974,0.2905759162303665,0.12191103789126853,76,municipio_familia,GUARANTA DO NORTE,gal_lacen_microdados,>=2024
respiratorio,601,1,7.5993055555555555,95.48680555555555,0.6402266288951841,0.1608910891089109,0.4158415841584158,0.2911813643926789,172,municipio_familia,COLIDER,gal_lacen_microdados,>=2024
tuberculose,586,1,5.604166666666667,19.644444444444446,0.7833333333333333,0.273224043715847,0.6557377049180327,0.027303754266211604,236,municipio_familia,LUCAS DO RIO VERDE,gal_lacen_microdados,>=2024
outros,576,1,5.43125,119.75486111111111,0.5581395348837209,0.2131979695431472,0.5076142131979695,0.043402777777777776,255,municipio_familia,PRIMAVERA DO LESTE,gal_lacen_microdados,>=2024
outros,569,1,17.412847222222222,170.50972222222222,0.38524590163934425,0.06934306569343066,0.3029197080291971,0.0492091388400703,189,municipio_familia,NOVA MUTUM,gal_lacen_microdados,>=2024
tuberculose,560,1,5.584722222222222,30.72875,0.7986425339366516,0.2129032258064516,0.7634408602150538,0.04285714285714286,130,municipio_familia,PRIMAVERA DO LESTE,gal_lacen_microdados,>=2024
hepatite,545,1,8.45173611111111,68.91875,0.2433234421364985,0.1517412935323383,0.35074626865671643,0.007339449541284404,219,municipio_familia,RONDONOPOLIS,gal_lacen_microdados,>=2024
arbovirose,534,1,27.200347222222224,100.43763888888888,0.18867924528301888,0.04090909090909091,0.15681818181818183,0.0149812734082397,114,municipio_familia,ARIPUANA,gal_lacen_microdados,>=2024
hepatite,529,1,13.374305555555555,94.8037499999997,0.3003194888178914,0.12979351032448377,0.28023598820059,0.007561436672967864,183,municipio_familia,CANARANA,gal_lacen_microdados,>=2024
arbovirose,528,1,20.897916666666667,74.53083333333336,0.055944055944055944,0.005649717514124294,0.10734463276836158,0.01893939393939394,219,municipio_familia,TERRA NOVA DO NORTE,gal_lacen_microdados,>=2024
respiratorio,527,1,3.467361111111111,91.52361111111111,0.5274390243902439,0.2525,0.77,0.19924098671726756,142,municipio_familia,CACERES,gal_lacen_microdados,>=2024
tuberculose,524,1,46.452083333333334,190.4736111111111,0.46543778801843316,0.11974110032362459,0.28802588996763756,0.11450381679389313,207,municipio_familia,COLIDER,gal_lacen_microdados,>=2024
tuberculose,499,1,6.554513888888889,118.69097222222223,0.4601226993865031,0.26262626262626265,0.5050505050505051,0.06813627254509018,313,municipio_familia,ALTA FLORESTA,gal_lacen_microdados,>=2024
outros,498,1,11.48125,92.40625,0.32558139534883723,0.2413793103448276,0.40948275862068967,0.05622489959839357,148,municipio_familia,CAMPO VERDE,gal_lacen_microdados,>=2024
hepatite,487,1,9.427430555555556,125.47909722222222,0.3905579399141631,0.15267175572519084,0.4312977099236641,0.01642710472279261,103,municipio_familia,COLNIZA,gal_lacen_microdados,>=2024
outros,481,1,9.122569444444444,118.52986111111112,0.3112033195020747,0.10820895522388059,0.4552238805970149,0.04781704781704782,130,municipio_familia,CAMPO NOVO DO PARECIS,gal_lacen_microdados,>=2024
outros,481,1,28.55763888888889,164.60277777777733,0.2918454935622318,0.1814814814814815,0.4,0.035343035343035345,100,municipio_familia,LUCAS DO RIO VERDE,gal_lacen_microdados,>=2024
arbovirose,480,1,16.665277777777778,95.34097222222222,0.28164556962025317,0.1401098901098901,0.28846153846153844,0.016666666666666666,109,municipio_familia,TABAPORA,gal_lacen_microdados,>=2024
hepatite,473,1,13.42361111111111,208.36111111111111,0.4043478260869565,0.0963855421686747,0.26907630522088355,0.02959830866807611,69,municipio_familia,ARIPUANA,gal_lacen_microdados,>=2024
arbovirose,460,1,8.493055555555555,118.31597222222223,0.2235294117647059,0.1620795107033639,0.4434250764525994,0.1,182,municipio_familia,POCONE,gal_lacen_microdados,>=2024
tuberculose,438,1,2.6083333333333334,121.80013888888888,0.7326388888888888,0.36990595611285265,0.7241379310344828,0.0593607305936073,185,municipio_familia,CAMPO VERDE,gal_lacen_microdados,>=2024
arbovirose,436,1,11.455555555555556,148.76527777777778,0.18815331010452963,0.08358208955223881,0.3492537313432836,0.06192660550458716,176,municipio_familia,SANTO ANTONIO DO LEVERGER,gal_lacen_microdados,>=2024
tuberculose,431,1,4.597222222222222,165.5470138888888,0.6059113300492611,0.2727272727272727,0.5545454545454546,0.07424593967517401,212,municipio_familia,CHAPADA DOS GUIMARAES,gal_lacen_microdados,>=2024
arbovirose,431,1,10.599305555555556,136.59583333333333,0.38661710037174724,0.049019607843137254,0.369281045751634,0.058004640371229696,145,municipio_familia,CURVELANDIA,gal_lacen_microdados,>=2024
outros,403,1,6.698611111111111,71.79375,0.33640552995391704,0.22448979591836735,0.5428571428571428,0.03722084367245657,97,municipio_familia,PONTES E LACERDA,gal_lacen_microdados,>=2024
arbovirose,368,1,13.720833333333333,103.60708333333348,0.18385650224215247,0.07692307692307693,0.3076923076923077,0.04891304347826087,105,municipio_familia,BARRA DO GARCAS,gal_lacen_microdados,>=2024
hepatite,367,1,6.7027777777777775,240.24138888888888,0.30097087378640774,0.1829787234042553,0.5276595744680851,0.035422343324250684,37,municipio_familia,PRIMAVERA DO LESTE,gal_lacen_microdados,>=2024
hepatite,361,1,13.52361111111111,158.38472222222222,0.22842639593908629,0.07142857142857142,0.23333333333333334,0.013850415512465374,63,municipio_familia,CASTANHEIRA,gal_lacen_microdados,>=2024
hepatite,358,1,10.473611111111111,155.38680555555555,0.47572815533980584,0.3127962085308057,0.4549763033175355,0.013966480446927373,68,municipio_familia,JURUENA,gal_lacen_microdados,>=2024
respiratorio,347,1,2.7604166666666665,122.53472222222223,0.6351931330472103,0.30522088353413657,0.6987951807228916,0.31988472622478387,79,municipio_familia,RONDONOPOLIS,gal_lacen_microdados,>=2024
outros,339,1,17.471527777777776,189.52152777777778,0.4482758620689655,0.24378109452736318,0.4577114427860697,0.017699115044247787,72,municipio_familia,BARRA DO GARCAS,gal_lacen_microdados,>=2024
tuberculose,339,1,4.432638888888889,111.86638888888926,0.7705882352941177,0.21649484536082475,0.5927835051546392,0.061946902654867256,121,municipio_familia,POCONE,gal_lacen_microdados,>=2024
arbovirose,338,1,7.677777777777778,45.39111111111111,0.4671814671814672,0.0031746031746031746,0.36507936507936506,0.0,59,municipio_familia,GENERAL CARNEIRO,gal_lacen_microdados,>=2024
tuberculose,337,1,1.6111111111111112,8.326944444444445,0.9135338345864662,0.5985401459854015,0.8722627737226277,0.05637982195845697,200,municipio_familia,JACIARA,gal_lacen_microdados,>=2024
tuberculose,336,1,3.6322916666666667,147.31805555555556,0.6221198156682027,0.3983050847457627,0.5932203389830508,0.08928571428571429,122,municipio_familia,ARAPUTANGA,gal_lacen_microdados,>=2024
arbovirose,332,1,14.474305555555556,96.32708333333333,0.23008849557522124,0.09923664122137404,0.2480916030534351,0.009036144578313253,125,municipio_familia,PEDRA PRETA,gal_lacen_microdados,>=2024
arbovirose,331,1,8.415277777777778,76.625,0.2903225806451613,0.15789473684210525,0.43508771929824563,0.021148036253776436,98,municipio_familia,DENISE,gal_lacen_microdados,>=2024
